time	V(in)	V(out)	abs(V(out)/V(in))
7.695162895327275e-003	-6.081889e-002	6.191945e-001	1.018096e+001
7.713969353130866e-003	-6.308143e-002	6.423220e-001	1.018243e+001
7.729858534213643e-003	-6.425080e-002	6.543049e-001	1.018361e+001
7.745137098727470e-003	-6.471732e-002	6.591271e-001	1.018471e+001
7.763192074315238e-003	-6.443349e-002	6.563199e-001	1.018601e+001
7.786471410984080e-003	-6.268481e-002	6.386157e-001	1.018773e+001
7.824187039490111e-003	-5.674517e-002	5.782805e-001	1.019083e+001
7.884130374693439e-003	-4.111223e-002	4.192633e-001	1.019802e+001
7.973779021786861e-003	-9.853174e-003	1.010433e-001	1.025490e+001
8.074067670667347e-003	2.777767e-002	-2.822811e-001	1.016216e+001
8.132534538883782e-003	4.705651e-002	-4.787822e-001	1.017462e+001
8.169459383490589e-003	5.626381e-002	-5.726933e-001	1.017872e+001
8.195162895327273e-003	6.081889e-002	-6.191946e-001	1.018096e+001
8.213969353130865e-003	6.308143e-002	-6.423220e-001	1.018243e+001
8.229858534213642e-003	6.425080e-002	-6.543049e-001	1.018361e+001
8.245137098727470e-003	6.471732e-002	-6.591271e-001	1.018471e+001
8.263192074315239e-003	6.443349e-002	-6.563199e-001	1.018601e+001
8.286471410984080e-003	6.268481e-002	-6.386157e-001	1.018773e+001
8.324187039490111e-003	5.674517e-002	-5.782805e-001	1.019083e+001
8.384130374693440e-003	4.111223e-002	-4.192633e-001	1.019802e+001
8.473779021786861e-003	9.853174e-003	-1.010433e-001	1.025490e+001
8.574067670667348e-003	-2.777767e-002	2.822811e-001	1.016216e+001
8.632534538883784e-003	-4.705651e-002	4.787822e-001	1.017462e+001
8.669459383490593e-003	-5.626381e-002	5.726933e-001	1.017872e+001
8.695162895327277e-003	-6.081889e-002	6.191945e-001	1.018096e+001
8.713969353130867e-003	-6.308143e-002	6.423220e-001	1.018243e+001
8.729858534213644e-003	-6.425080e-002	6.543049e-001	1.018361e+001
8.745137098727471e-003	-6.471732e-002	6.591271e-001	1.018471e+001
8.763192074315239e-003	-6.443349e-002	6.563199e-001	1.018601e+001
8.786471410984082e-003	-6.268481e-002	6.386157e-001	1.018773e+001
8.824187039490115e-003	-5.674517e-002	5.782805e-001	1.019083e+001
8.884130374693445e-003	-4.111223e-002	4.192633e-001	1.019802e+001
8.973779021786869e-003	-9.853174e-003	1.010433e-001	1.025490e+001
9.074067670667353e-003	2.777767e-002	-2.822811e-001	1.016216e+001
9.132534538883786e-003	4.705651e-002	-4.787822e-001	1.017462e+001
9.169459383490593e-003	5.626381e-002	-5.726933e-001	1.017872e+001
9.195162895327276e-003	6.081889e-002	-6.191946e-001	1.018096e+001
9.213969353130866e-003	6.308143e-002	-6.423220e-001	1.018243e+001
9.229858534213643e-003	6.425080e-002	-6.543049e-001	1.018361e+001
9.245137098727471e-003	6.471732e-002	-6.591271e-001	1.018471e+001
9.263192074315240e-003	6.443349e-002	-6.563199e-001	1.018601e+001
9.286471410984083e-003	6.268481e-002	-6.386157e-001	1.018773e+001
9.324187039490115e-003	5.674517e-002	-5.782805e-001	1.019083e+001
9.384130374693446e-003	4.111223e-002	-4.192633e-001	1.019802e+001
9.473779021786871e-003	9.853174e-003	-1.010433e-001	1.025490e+001
9.574067670667354e-003	-2.777767e-002	2.822811e-001	1.016216e+001
9.632534538883786e-003	-4.705651e-002	4.787822e-001	1.017462e+001
9.669459383490594e-003	-5.626381e-002	5.726933e-001	1.017872e+001
9.695162895327278e-003	-6.081889e-002	6.191946e-001	1.018096e+001
9.713969353130868e-003	-6.308143e-002	6.423220e-001	1.018243e+001
9.729858534213645e-003	-6.425080e-002	6.543049e-001	1.018361e+001
9.745137098727470e-003	-6.471732e-002	6.591271e-001	1.018471e+001
9.763192074315238e-003	-6.443349e-002	6.563199e-001	1.018601e+001
9.786471410984080e-003	-6.268481e-002	6.386157e-001	1.018773e+001
9.824187039490111e-003	-5.674517e-002	5.782805e-001	1.019083e+001
9.884130374693439e-003	-4.111223e-002	4.192633e-001	1.019802e+001
9.973779021786861e-003	-9.853174e-003	1.010433e-001	1.025490e+001
1.007406767066735e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.013253453888378e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.016945938349059e-002	5.626381e-002	-5.726933e-001	1.017872e+001
1.019516289532728e-002	6.081889e-002	-6.191945e-001	1.018096e+001
1.021396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
1.022985853421364e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.024513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
1.026319207431524e-002	6.443349e-002	-6.563199e-001	1.018601e+001
1.028647141098408e-002	6.268481e-002	-6.386157e-001	1.018773e+001
1.032418703949011e-002	5.674517e-002	-5.782805e-001	1.019083e+001
1.038413037469344e-002	4.111223e-002	-4.192633e-001	1.019802e+001
1.047377902178686e-002	9.853174e-003	-1.010433e-001	1.025490e+001
1.057406767066735e-002	-2.777767e-002	2.822811e-001	1.016216e+001
1.063253453888378e-002	-4.705651e-002	4.787822e-001	1.017462e+001
1.066945938349059e-002	-5.626381e-002	5.726933e-001	1.017872e+001
1.069516289532727e-002	-6.081889e-002	6.191945e-001	1.018096e+001
1.071396935313087e-002	-6.308143e-002	6.423220e-001	1.018243e+001
1.072985853421364e-002	-6.425080e-002	6.543049e-001	1.018361e+001
1.074513709872747e-002	-6.471732e-002	6.591271e-001	1.018471e+001
1.076319207431524e-002	-6.443349e-002	6.563199e-001	1.018601e+001
1.078647141098408e-002	-6.268481e-002	6.386157e-001	1.018773e+001
1.082418703949012e-002	-5.674517e-002	5.782805e-001	1.019083e+001
1.088413037469345e-002	-4.111223e-002	4.192633e-001	1.019802e+001
1.097377902178687e-002	-9.853174e-003	1.010433e-001	1.025490e+001
1.107406767066735e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.113253453888379e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.116945938349060e-002	5.626381e-002	-5.726933e-001	1.017872e+001
1.119516289532728e-002	6.081889e-002	-6.191946e-001	1.018096e+001
1.121396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
