time	Vsh	Vpre
1.011621428571431e-003	1.195221e-001	5.621363e-001
1.012378571428574e-003	1.254139e-001	5.595099e-001
1.013135714285718e-003	1.304206e-001	5.568957e-001
1.013892857142861e-003	1.345423e-001	5.542939e-001
1.014650000000004e-003	1.377790e-001	5.517043e-001
1.015307142857148e-003	1.401363e-001	5.494666e-001
1.015964285714291e-003	1.421194e-001	5.472379e-001
1.016621428571434e-003	1.437284e-001	5.450181e-001
1.017278571428577e-003	1.449631e-001	5.428073e-001
1.017935714285720e-003	1.458237e-001	5.406055e-001
1.018592857142864e-003	1.463100e-001	5.384127e-001
1.019250000000007e-003	1.464222e-001	5.362288e-001
1.019978571428579e-003	1.462386e-001	5.338180e-001
1.020707142857151e-003	1.458130e-001	5.314179e-001
1.021435714285722e-003	1.451454e-001	5.290285e-001
1.022164285714294e-003	1.442357e-001	5.266499e-001
1.022892857142866e-003	1.430839e-001	5.242819e-001
1.023621428571438e-003	1.416901e-001	5.219247e-001
1.024350000000010e-003	1.400543e-001	5.195782e-001
1.025407142857153e-003	1.373814e-001	5.161924e-001
1.026464285714297e-003	1.345337e-001	5.128283e-001
1.027521428571440e-003	1.315112e-001	5.094859e-001
1.028578571428584e-003	1.283138e-001	5.061652e-001
1.029635714285727e-003	1.249416e-001	5.028662e-001
1.030692857142871e-003	1.213945e-001	4.995889e-001
1.031750000000014e-003	1.176727e-001	4.963334e-001
1.033121428571443e-003	1.128035e-001	4.921419e-001
1.034492857142873e-003	1.079797e-001	4.879850e-001
1.035864285714302e-003	1.032012e-001	4.838628e-001
1.037235714285731e-003	9.846792e-002	4.797753e-001
1.038607142857161e-003	9.377996e-002	4.757224e-001
1.039978571428590e-003	8.913729e-002	4.717042e-001
1.041350000000019e-003	8.453991e-002	4.677207e-001
1.042778571428592e-003	7.994318e-002	4.636070e-001
1.044207142857164e-003	7.551358e-002	4.595287e-001
1.045635714285736e-003	7.125110e-002	4.554858e-001
1.047064285714308e-003	6.715575e-002	4.514784e-001
1.048492857142881e-003	6.322752e-002	4.475063e-001
1.049921428571453e-003	5.946642e-002	4.435696e-001
1.051350000000025e-003	5.587244e-002	4.396684e-001
1.052878571428597e-003	5.224230e-002	4.355321e-001
1.054407142857170e-003	4.879502e-002	4.314339e-001
1.055935714285742e-003	4.553060e-002	4.273736e-001
1.057464285714314e-003	4.244904e-002	4.233514e-001
1.058992857142887e-003	3.955035e-002	4.193673e-001
1.060521428571459e-003	3.683452e-002	4.154211e-001
1.062050000000031e-003	3.430155e-002	4.115130e-001
1.063764285714318e-003	3.165951e-002	4.071740e-001
1.065478571428604e-003	2.918257e-002	4.028796e-001
1.067192857142891e-003	2.687072e-002	3.986297e-001
1.068907142857178e-003	2.472398e-002	3.944245e-001
1.070621428571465e-003	2.274233e-002	3.902638e-001
1.072335714285751e-003	2.092579e-002	3.861477e-001
1.074050000000038e-003	1.927434e-002	3.820762e-001
1.076150000000039e-003	1.743247e-002	3.771476e-001
1.078250000000040e-003	1.573496e-002	3.722807e-001
1.080350000000042e-003	1.418182e-002	3.674754e-001
1.082450000000043e-003	1.277305e-002	3.627316e-001
1.084550000000044e-003	1.150865e-002	3.580495e-001
1.086650000000045e-003	1.038862e-002	3.534290e-001
1.088750000000046e-003	9.412955e-003	3.488701e-001
1.090964285714333e-003	8.482811e-003	3.441269e-001
1.093178571428620e-003	7.631443e-003	3.394460e-001
1.095392857142907e-003	6.858852e-003	3.348276e-001
1.097607142857194e-003	6.165037e-003	3.302715e-001
1.099821428571481e-003	5.549998e-003	3.257779e-001
1.102035714285768e-003	5.013736e-003	3.213466e-001
1.104250000000055e-003	4.556251e-003	3.169776e-001
1.105307142857199e-003	4.348304e-003	3.149121e-001
1.106364285714342e-003	4.150276e-003	3.128597e-001
1.107421428571486e-003	3.962167e-003	3.108207e-001
1.108478571428629e-003	3.783977e-003	3.087948e-001
1.109535714285772e-003	3.615706e-003	3.067822e-001
1.110592857142916e-003	3.457354e-003	3.047829e-001
1.111650000000059e-003	3.308921e-003	3.027968e-001
1.111750000000059e-003	3.295183e-003	3.026096e-001
1.114621428571490e-003	2.944897e-003	2.972867e-001
1.117492857142920e-003	2.630493e-003	2.920535e-001
1.120364285714350e-003	2.351971e-003	2.869101e-001
1.123235714285780e-003	2.109330e-003	2.818564e-001
1.126107142857210e-003	1.902571e-003	2.768925e-001
