time	V(in)	V(out)
9.175499999997887e-004	5.374838e-011	-1.349184e-004
9.176499999997887e-004	5.371365e-011	-1.348312e-004
9.295571428569617e-004	4.978358e-011	-1.249660e-004
9.414642857141348e-004	4.609819e-011	-1.157150e-004
9.533714285713078e-004	4.265751e-011	-1.070782e-004
9.652785714284809e-004	3.946152e-011	-9.905572e-005
9.771857142856538e-004	3.651022e-011	-9.164743e-005
9.890928571428270e-004	3.380362e-011	-8.485337e-005
1.001000000000000e-003	3.134172e-011	-7.867354e-005
1.001030000000000e-003	-5.997352e-002	-7.862478e-005
1.001059440478284e-003	-1.188285e-001	-7.843677e-005
1.001089443134068e-003	-1.788073e-001	-7.771341e-005
1.001149448445636e-003	-2.987650e-001	-7.345046e-005
1.001226334096665e-003	-4.524685e-001	-6.029598e-005
1.001313009364140e-003	-6.257425e-001	-3.073210e-005
1.001393820579932e-003	-7.872936e-001	1.191724e-005
1.001415183225087e-003	-8.300000e-001	2.750121e-005
1.001457908515398e-003	-9.154130e-001	6.670031e-005
1.001500000000000e-003	-9.995587e-001	1.103346e-004
1.001532926228895e-003	-9.995587e-001	1.541516e-004
1.001565852457791e-003	-9.995587e-001	2.036001e-004
1.001598778686686e-003	-9.995587e-001	2.586801e-004
1.001631704915582e-003	-9.995587e-001	3.193916e-004
1.001664631144477e-003	-9.995587e-001	3.857345e-004
1.001697557373373e-003	-9.995587e-001	4.577090e-004
1.001730483602268e-003	-9.995587e-001	5.353149e-004
1.001830483602268e-003	-9.995587e-001	7.997686e-004
1.001930483602268e-003	-9.995587e-001	1.115165e-003
1.002030483602268e-003	-9.995587e-001	1.480752e-003
1.002130483602268e-003	-9.995587e-001	1.895783e-003
1.002230483602268e-003	-9.995587e-001	2.359522e-003
1.002330483602268e-003	-9.995587e-001	2.871238e-003
1.002430483602268e-003	-9.995587e-001	3.430211e-003
1.002530483602268e-003	-9.995587e-001	4.035727e-003
1.002630483602268e-003	-9.995587e-001	4.687080e-003
1.002830483602268e-003	-9.995587e-001	6.124507e-003
1.003030483602269e-003	-9.995587e-001	7.736993e-003
1.003230483602269e-003	-9.995587e-001	9.519158e-003
1.003430483602269e-003	-9.995587e-001	1.146573e-002
1.003730483602269e-003	-9.995587e-001	1.468263e-002
1.004030483602269e-003	-9.995587e-001	1.824095e-002
1.004330483602269e-003	-9.995587e-001	2.212434e-002
1.004640414516231e-003	-9.995587e-001	2.650051e-002
1.004950345430192e-003	-9.995587e-001	3.115002e-002
1.005260276344154e-003	-9.995587e-001	3.607287e-002
1.005570207258115e-003	-9.995587e-001	4.126907e-002
1.005880138172077e-003	-9.995587e-001	4.673861e-002
1.006190069086038e-003	-9.995587e-001	5.248149e-002
1.006500000000000e-003	-9.995587e-001	5.849771e-002
1.006570000000000e-003	-8.596206e-001	5.988128e-002
1.006750000000000e-003	-4.997794e-001	6.346478e-002
1.006900000000000e-003	-1.999118e-001	6.644934e-002
1.007000000000000e-003	3.452635e-009	6.842259e-002
1.007030000000000e-003	1.503988e-008	6.900812e-002
1.007675714285715e-003	1.690401e-008	8.073907e-002
1.008321428571429e-003	1.832627e-008	9.141862e-002
1.008967142857144e-003	1.930667e-008	1.010468e-001
1.009612857142858e-003	1.984520e-008	1.096235e-001
1.010258571428573e-003	1.994186e-008	1.171488e-001
1.010904285714288e-003	1.959666e-008	1.236228e-001
1.011550000000002e-003	1.880959e-008	1.290453e-001
1.012207142857146e-003	1.872951e-008	1.337948e-001
1.012864285714289e-003	1.864979e-008	1.379122e-001
1.013521428571432e-003	1.857041e-008	1.413976e-001
1.014178571428575e-003	1.849139e-008	1.442508e-001
1.014835714285718e-003	1.841271e-008	1.464720e-001
1.015492857142862e-003	1.833439e-008	1.480611e-001
1.016150000000005e-003	1.825641e-008	1.490180e-001
1.016464285714291e-003	1.821924e-008	1.493587e-001
1.016778571428577e-003	1.818214e-008	1.496076e-001
1.017092857142863e-003	1.814512e-008	1.497646e-001
1.017407142857149e-003	1.810818e-008	1.498297e-001
1.017721428571435e-003	1.807132e-008	1.498030e-001
1.018035714285720e-003	1.803454e-008	1.496845e-001
1.018350000000006e-003	1.799783e-008	1.494741e-001
1.018450000000006e-003	1.798617e-008	1.493937e-001
1.019221428571435e-003	1.789646e-008	1.484167e-001
1.019992857142864e-003	1.780720e-008	1.471291e-001
1.020764285714293e-003	1.771840e-008	1.455309e-001
1.021535714285722e-003	1.763005e-008	1.436221e-001
1.022307142857151e-003	1.754215e-008	1.414027e-001
1.023078571428580e-003	1.745470e-008	1.388727e-001
1.023850000000009e-003	1.736771e-008	1.360321e-001
1.024935714285724e-003	1.724603e-008	1.317165e-001
1.026021428571439e-003	1.712520e-008	1.272466e-001
1.027107142857154e-003	1.700523e-008	1.226226e-001
1.028192857142869e-003	1.688610e-008	1.178443e-001
1.029278571428584e-003	1.676782e-008	1.129119e-001
1.030364285714299e-003	1.665040e-008	1.078252e-001
1.031450000000014e-003	1.653383e-008	1.025843e-001
1.032392857142871e-003	1.643326e-008	9.810020e-002
1.033335714285729e-003	1.633330e-008	9.366749e-002
1.034278571428587e-003	1.623395e-008	8.928621e-002
1.035221428571444e-003	1.613521e-008	8.495634e-002
1.036164285714302e-003	1.603707e-008	8.067790e-002
1.037107142857160e-003	1.593955e-008	7.645088e-002
1.038050000000017e-003	1.584263e-008	7.227528e-002
1.038707142857161e-003	1.577543e-008	6.943290e-002
1.039364285714304e-003	1.570852e-008	6.663924e-002
1.040021428571447e-003	1.564189e-008	6.389428e-002
1.040678571428590e-003	1.557554e-008	6.119804e-002
1.041335714285733e-003	1.550948e-008	5.855050e-002
1.041992857142877e-003	1.544370e-008	5.595168e-002
1.042650000000020e-003	1.537820e-008	5.340156e-002
1.043578571428592e-003	1.528613e-008	4.989217e-002
1.044507142857164e-003	1.519461e-008	4.649081e-002
1.045435714285736e-003	1.510364e-008	4.319749e-002
1.046364285714308e-003	1.501321e-008	4.001219e-002
1.047292857142880e-003	1.492332e-008	3.693494e-002
1.048221428571452e-003	1.483398e-008	3.396571e-002
1.049150000000024e-003	1.474519e-008	3.110452e-002
1.050635714285739e-003	1.460425e-008	2.676861e-002
1.052121428571454e-003	1.446463e-008	2.267708e-002
1.053607142857169e-003	1.432633e-008	1.882991e-002
1.055092857142884e-003	1.418935e-008	1.522710e-002
1.056578571428599e-003	1.405369e-008	1.186867e-002
1.058064285714315e-003	1.391935e-008	8.754604e-003
1.059550000000030e-003	1.378632e-008	5.884905e-003
1.060750000000030e-003	1.367981e-008	3.714950e-003
1.061950000000031e-003	1.357409e-008	1.662215e-003
1.063150000000032e-003	1.346919e-008	-2.733005e-004
1.064350000000032e-003	1.336510e-008	-2.091596e-003
1.065550000000033e-003	1.326182e-008	-3.792672e-003
1.066750000000034e-003	1.315934e-008	-5.376528e-003
1.067950000000034e-003	1.305767e-008	-6.843164e-003
1.069635714285750e-003	1.291620e-008	-8.726788e-003
1.071321428571465e-003	1.277622e-008	-1.046026e-002
1.073007142857180e-003	1.263774e-008	-1.204357e-002
1.074692857142895e-003	1.250075e-008	-1.347672e-002
1.076378571428610e-003	1.236525e-008	-1.475971e-002
1.078064285714326e-003	1.223125e-008	-1.589255e-002
1.079750000000041e-003	1.209874e-008	-1.687523e-002
1.082178571428614e-003	1.191042e-008	-1.808544e-002
1.084607142857187e-003	1.172492e-008	-1.914349e-002
1.087035714285759e-003	1.154224e-008	-2.004939e-002
1.089464285714332e-003	1.136238e-008	-2.080313e-002
1.091892857142905e-003	1.118535e-008	-2.140471e-002
1.094321428571478e-003	1.101115e-008	-2.185414e-002
1.096750000000051e-003	1.083976e-008	-2.215141e-002
1.100178571428624e-003	1.060247e-008	-2.242708e-002
1.103607142857197e-003	1.037010e-008	-2.260847e-002
1.107035714285771e-003	1.014267e-008	-2.269556e-002
1.110464285714344e-003	9.920158e-009	-2.268836e-002
1.113892857142917e-003	9.702580e-009	-2.258687e-002
1.117321428571491e-003	9.489931e-009	-2.239109e-002
1.120750000000064e-003	9.282211e-009	-2.210102e-002
1.120850000000064e-003	9.276214e-009	-2.209326e-002
1.127492857142925e-003	8.887981e-009	-2.145215e-002
1.134135714285786e-003	8.514494e-009	-2.079054e-002
1.140778571428647e-003	8.155753e-009	-2.010842e-002
1.147421428571508e-003	7.811758e-009	-1.940579e-002
1.154064285714369e-003	7.482508e-009	-1.868265e-002
1.160707142857230e-003	7.168005e-009	-1.793900e-002
1.167350000000091e-003	6.868248e-009	-1.717484e-002
1.175321428571524e-003	6.525356e-009	-1.633473e-002
1.183292857142957e-003	6.197734e-009	-1.552913e-002
1.191264285714390e-003	5.885383e-009	-1.475803e-002
1.199235714285823e-003	5.588303e-009	-1.402143e-002
1.207207142857256e-003	5.306494e-009	-1.331934e-002
1.215178571428689e-003	5.039955e-009	-1.265175e-002
1.223150000000122e-003	4.788687e-009	-1.201866e-002
1.223250000000122e-003	4.785593e-009	-1.201091e-002
1.237692857142988e-003	4.366454e-009	-1.095950e-002
1.252135714285853e-003	3.977700e-009	-9.984216e-003
1.266578571428718e-003	3.619333e-009	-9.085055e-003
1.281021428571584e-003	3.291350e-009	-8.262018e-003
1.295464285714449e-003	2.993754e-009	-7.515105e-003
1.309907142857314e-003	2.726543e-009	-6.844316e-003
1.324350000000180e-003	2.489718e-009	-6.249650e-003
1.325650000000180e-003	2.468886e-009	-6.197359e-003
1.340264285714474e-003	2.250286e-009	-5.648634e-003
1.354878571428768e-003	2.047679e-009	-5.140053e-003
1.369492857143062e-003	1.861063e-009	-4.671613e-003
1.384107142857356e-003	1.690440e-009	-4.243317e-003
1.398721428571650e-003	1.535808e-009	-3.855163e-003
1.413335714285944e-003	1.397169e-009	-3.507152e-003
1.427950000000238e-003	1.274521e-009	-3.199284e-003
1.428050000000238e-003	1.273698e-009	-3.197217e-003
1.442664285714532e-003	1.160922e-009	-2.914130e-003
1.457278571428826e-003	1.056397e-009	-2.651752e-003
1.471892857143120e-003	9.601220e-010	-2.410084e-003
1.486507142857414e-003	8.720974e-010	-2.189126e-003
1.501121428571708e-003	7.923230e-010	-1.988878e-003
1.515735714286002e-003	7.207989e-010	-1.809339e-003
1.530350000000296e-003	6.575251e-010	-1.650510e-003
1.530450000000296e-003	6.571003e-010	-1.649443e-003
1.545064285714590e-003	5.989194e-010	-1.503399e-003
1.559678571428884e-003	5.449949e-010	-1.368038e-003
1.574292857143178e-003	4.953267e-010	-1.243362e-003
1.588907142857472e-003	4.499148e-010	-1.129369e-003
1.603521428571766e-003	4.087592e-010	-1.026061e-003
1.618135714286060e-003	3.718600e-010	-9.334374e-004
1.632750000000354e-003	3.392170e-010	-8.514976e-004
1.632850000000354e-003	3.389978e-010	-8.509475e-004
1.647464285714648e-003	3.089824e-010	-7.756030e-004
1.662078571428942e-003	2.811627e-010	-7.057706e-004
1.676692857143236e-003	2.555389e-010	-6.414500e-004
1.691307142857530e-003	2.321109e-010	-5.826415e-004
1.705921428571824e-003	2.108788e-010	-5.293448e-004
1.720535714286118e-003	1.918425e-010	-4.815601e-004
1.735150000000412e-003	1.750020e-010	-4.392874e-004
1.735250000000412e-003	1.748889e-010	-4.390035e-004
1.749864285714706e-003	1.594039e-010	-4.001334e-004
1.764478571429000e-003	1.450518e-010	-3.641068e-004
1.779092857143294e-003	1.318325e-010	-3.309239e-004
1.793707142857588e-003	1.197460e-010	-3.005846e-004
1.808321428571882e-003	1.087923e-010	-2.730888e-004
1.822935714286176e-003	9.897147e-011	-2.484367e-004
1.837550000000470e-003	9.028348e-011	-2.266282e-004
1.837650000000470e-003	9.022514e-011	-2.264818e-004
1.852264285714764e-003	8.223644e-011	-2.064287e-004
1.866878571429058e-003	7.483217e-011	-1.878426e-004
1.881492857143352e-003	6.801233e-011	-1.707235e-004
1.896107142857646e-003	6.177691e-011	-1.550715e-004
1.910721428571940e-003	5.612592e-011	-1.408865e-004
1.925335714286234e-003	5.105936e-011	-1.281684e-004
1.939950000000528e-003	4.657722e-011	-1.169175e-004
1.940050000000528e-003	4.654712e-011	-1.168419e-004
1.948757143394047e-003	1.225717e-006	-1.104920e-004
1.957464286787566e-003	1.685353e-006	-1.044470e-004
1.966171430181085e-003	1.378956e-006	-9.870713e-005
1.974878573574604e-003	3.065251e-007	-9.327224e-005
1.983585716968123e-003	-1.531940e-006	-8.814236e-005
1.992292860361641e-003	-4.136439e-006	-8.331749e-005
2.001000003755160e-003	-7.506971e-006	-7.879764e-005
2.001017590247423e-003	-3.516496e-002	-7.887290e-005
2.001035176739685e-003	-7.032242e-002	-7.877368e-005
2.001052763231948e-003	-1.054799e-001	-7.849998e-005
2.001070349724210e-003	-1.406373e-001	-7.805181e-005
2.001087936216473e-003	-1.757948e-001	-7.742917e-005
2.001105522708735e-003	-2.109523e-001	-7.663205e-005
2.001123109200998e-003	-2.461098e-001	-7.566046e-005
2.001198298053025e-003	-3.964211e-001	-6.654359e-005
2.001277164147604e-003	-5.540837e-001	-4.560786e-005
2.001362079143412e-003	-7.238387e-001	-6.669638e-006
2.001418987261025e-003	-8.376048e-001	3.425608e-005
2.001500000000000e-003	-9.995587e-001	1.103341e-004
2.001556708917283e-003	-9.995588e-001	1.887675e-004
2.001621519108463e-003	-9.995587e-001	3.014531e-004
2.001721519108463e-003	-9.995587e-001	5.141181e-004
2.001821519108462e-003	-9.995587e-001	7.739112e-004
2.001921519108462e-003	-9.995587e-001	1.084716e-003
2.002021519108462e-003	-9.995587e-001	1.445779e-003
2.002121519108462e-003	-9.995587e-001	1.856354e-003
2.002221519108462e-003	-9.995587e-001	2.315702e-003
2.002321519108462e-003	-9.995587e-001	2.823095e-003
2.002421519108461e-003	-9.995587e-001	3.377809e-003
2.002521519108461e-003	-9.995587e-001	3.979131e-003
2.002621519108461e-003	-9.995587e-001	4.626352e-003
2.002821519108461e-003	-9.995587e-001	6.055707e-003
2.003021519108460e-003	-9.995587e-001	7.660368e-003
2.003221519108460e-003	-9.995587e-001	9.434948e-003
2.003421519108460e-003	-9.995587e-001	1.137418e-002
2.003721519108459e-003	-9.995587e-001	1.458048e-002
2.004021519108459e-003	-9.995587e-001	1.812872e-002
2.004321519108458e-003	-9.995587e-001	2.200250e-002
2.004632730664393e-003	-9.995587e-001	2.638829e-002
2.004943942220327e-003	-9.995587e-001	3.104992e-002
2.005255153776262e-003	-9.995587e-001	3.598740e-002
2.005566365332197e-003	-9.995587e-001	4.120072e-002
2.005877576888131e-003	-9.995587e-001	4.668989e-002
2.006188788444066e-003	-9.995587e-001	5.245491e-002
2.006500000000000e-003	-9.995587e-001	5.849578e-002
2.006570000000000e-003	-8.596206e-001	5.987934e-002
2.006749999999999e-003	-4.997794e-001	6.346279e-002
2.006900000000000e-003	-1.999118e-001	6.644730e-002
2.007000000000000e-003	3.452192e-009	6.842053e-002
2.007030000000000e-003	1.503959e-008	6.900606e-002
2.007675714285713e-003	1.690371e-008	8.073687e-002
2.008321428571427e-003	1.832598e-008	9.141629e-002
2.008967142857140e-003	1.930637e-008	1.010443e-001
2.009612857142853e-003	1.984490e-008	1.096210e-001
2.010258571428566e-003	1.994157e-008	1.171462e-001
2.010904285714280e-003	1.959636e-008	1.236201e-001
2.011549999999993e-003	1.880930e-008	1.290426e-001
2.012207142857134e-003	1.872922e-008	1.337920e-001
2.012864285714276e-003	1.864950e-008	1.379094e-001
2.013521428571418e-003	1.857012e-008	1.413947e-001
2.014178571428560e-003	1.849110e-008	1.442480e-001
2.014835714285702e-003	1.841243e-008	1.464691e-001
2.015492857142844e-003	1.833410e-008	1.480582e-001
2.016149999999985e-003	1.825613e-008	1.490152e-001
2.016778571428556e-003	1.818187e-008	1.495409e-001
2.017407142857126e-003	1.810791e-008	1.497507e-001
2.018035714285697e-003	1.803426e-008	1.496446e-001
2.018664285714267e-003	1.796092e-008	1.492225e-001
2.019292857142837e-003	1.788789e-008	1.484845e-001
2.019921428571408e-003	1.781516e-008	1.474306e-001
2.020549999999978e-003	1.774274e-008	1.460607e-001
2.021449999999977e-003	1.763958e-008	1.436904e-001
2.022349999999975e-003	1.753703e-008	1.410501e-001
