time	V(out)
2.019707142857122e-003	1.458725e-001
2.020421428571407e-003	1.456082e-001
2.021135714285692e-003	1.450177e-001
2.021849999999976e-003	1.441010e-001
2.022764285714260e-003	1.425977e-001
2.023678571428545e-003	1.408636e-001
2.024592857142829e-003	1.388987e-001
2.025507142857113e-003	1.367031e-001
2.026421428571397e-003	1.342768e-001
2.027335714285682e-003	1.316197e-001
2.028249999999966e-003	1.287319e-001
2.029521428571392e-003	1.245304e-001
2.030792857142819e-003	1.202716e-001
2.032064285714245e-003	1.159554e-001
2.033335714285672e-003	1.115820e-001
2.034607142857099e-003	1.071512e-001
2.035878571428525e-003	1.026631e-001
2.037149999999952e-003	9.811759e-002
2.038149999999950e-003	9.465442e-002
2.039535714285662e-003	8.990033e-002
2.040921428571374e-003	8.528609e-002
2.042307142857086e-003	8.081169e-002
2.043692857142798e-003	7.647712e-002
2.045078571428511e-003	7.228240e-002
2.046464285714222e-003	6.822752e-002
2.047849999999934e-003	6.431247e-002
2.049307142857075e-003	6.040198e-002
2.050764285714215e-003	5.666836e-002
2.052221428571356e-003	5.311163e-002
2.053678571428497e-003	4.973179e-002
2.055135714285637e-003	4.652883e-002
2.056592857142778e-003	4.350275e-002
2.058049999999918e-003	4.065356e-002
2.059635714285630e-003	3.774830e-002
2.061221428571341e-003	3.500752e-002
2.062807142857053e-003	3.243119e-002
2.064392857142765e-003	3.001934e-002
2.065978571428477e-003	2.777194e-002
2.067564285714189e-003	2.568902e-002
2.069149999999900e-003	2.377056e-002
2.070992857142755e-003	2.171507e-002
2.072835714285609e-003	1.980233e-002
2.074678571428463e-003	1.803234e-002
2.076521428571317e-003	1.640510e-002
2.078364285714171e-003	1.492060e-002
2.080207142857025e-003	1.357885e-002
2.082049999999880e-003	1.237985e-002
2.084149999999876e-003	1.113963e-002
2.086249999999873e-003	9.999569e-003
2.088349999999870e-003	8.959668e-003
2.090449999999866e-003	8.019926e-003
2.092549999999863e-003	7.180343e-003
2.094649999999860e-003	6.440919e-003
2.096749999999856e-003	5.801653e-003
2.099035714285567e-003	5.175355e-003
2.101321428571277e-003	4.604543e-003
2.103607142856988e-003	4.089219e-003
2.105892857142699e-003	3.629383e-003
2.108178571428409e-003	3.225034e-003
2.110464285714120e-003	2.876172e-003
2.112749999999831e-003	2.582798e-003
2.115549999999826e-003	2.266240e-003
2.118349999999822e-003	1.982392e-003
2.121149999999817e-003	1.731256e-003
2.123949999999813e-003	1.512831e-003
2.126749999999808e-003	1.327117e-003
2.129549999999804e-003	1.174114e-003
2.132349999999799e-003	1.053822e-003
2.133507142856940e-003	1.005371e-003
2.134664285714081e-003	9.594715e-004
2.135821428571222e-003	9.161243e-004
2.136978571428363e-003	8.753289e-004
2.138135714285504e-003	8.370854e-004
2.139292857142645e-003	8.013937e-004
2.140449999999786e-003	7.682539e-004
2.140549999999786e-003	7.654525e-004
2.145335714285493e-003	6.583782e-004
2.150121428571199e-003	5.658861e-004
2.154907142856906e-003	4.879763e-004
2.159692857142613e-003	4.246488e-004
2.164478571428319e-003	3.759036e-004
2.169264285714026e-003	3.417406e-004
2.174049999999732e-003	3.221600e-004
2.183878571428288e-003	2.862922e-004
2.193707142856844e-003	2.551973e-004
2.203535714285399e-003	2.288751e-004
2.213364285713955e-003	2.073257e-004
