time	V(in)	V(out)
3.001030000000000e-003	-5.997503e-002	9.674176e-004
3.001061687618689e-003	-1.233239e-001	1.149597e-003
3.001093938007456e-003	-1.877979e-001	1.526759e-003
3.001158438784991e-003	-3.167458e-001	2.890815e-003
3.001258438784991e-003	-5.166625e-001	6.238513e-003
3.001358438784991e-003	-7.165794e-001	1.085738e-002
3.001400000000000e-003	-7.996672e-001	1.322299e-002
3.001416877569981e-003	-8.334084e-001	1.431827e-002
3.001450632709943e-003	-9.008905e-001	1.670707e-002
3.001500000000000e-003	-9.995840e-001	2.040550e-002
3.001534557103040e-003	-9.995841e-001	2.324415e-002
3.002243906088320e-003	-9.995841e-001	8.201377e-002
3.002953255073600e-003	-9.995841e-001	1.405275e-001
3.003662604058880e-003	-9.995841e-001	1.987854e-001
3.004371953044160e-003	-9.995841e-001	2.567874e-001
3.005081302029440e-003	-9.995841e-001	3.145336e-001
3.005790651014720e-003	-9.995840e-001	3.720239e-001
3.006500000000000e-003	-9.995840e-001	4.292583e-001
3.006527840183185e-003	-9.439268e-001	4.314441e-001
3.006555680366371e-003	-8.882696e-001	4.335006e-001
3.006583520549556e-003	-8.326124e-001	4.354278e-001
3.006611360732742e-003	-7.769552e-001	4.372259e-001
3.006639200915927e-003	-7.212980e-001	4.388948e-001
3.006667041099113e-003	-6.656408e-001	4.404345e-001
3.006694881282298e-003	-6.099836e-001	4.418450e-001
3.006738469670541e-003	-5.228431e-001	4.439856e-001
3.006782058058784e-003	-4.357026e-001	4.457991e-001
3.006825646447027e-003	-3.485621e-001	4.472853e-001
3.006869234835271e-003	-2.614216e-001	4.484444e-001
3.006912823223514e-003	-1.742810e-001	4.492763e-001
3.006956411611757e-003	-8.714052e-002	4.497809e-001
3.007000000000000e-003	2.568083e-009	4.499584e-001
3.007028664819136e-003	1.477981e-008	4.499072e-001
3.014556990444822e-003	1.558724e-008	4.293599e-001
3.022085316070510e-003	1.605422e-008	4.096566e-001
3.029613641696196e-003	1.618076e-008	3.907973e-001
3.037141967321883e-003	1.596686e-008	3.727822e-001
3.044670292947570e-003	1.541251e-008	3.556111e-001
3.052198618573257e-003	1.451772e-008	3.392840e-001
3.059726944198944e-003	1.328249e-008	3.238010e-001
3.059826944198944e-003	1.327420e-008	3.235990e-001
3.074441229913206e-003	1.213612e-008	2.958549e-001
3.089055515627469e-003	1.107909e-008	2.700865e-001
3.103669801341731e-003	1.010311e-008	2.462940e-001
3.118284087055993e-003	9.208169e-009	2.244772e-001
3.132898372770255e-003	8.394279e-009	2.046361e-001
3.147512658484518e-003	7.661436e-009	1.867709e-001
3.162126944198780e-003	7.009640e-009	1.708814e-001
3.162226944198780e-003	7.005266e-009	1.707747e-001
3.176841229913042e-003	6.404662e-009	1.561332e-001
3.191455515627305e-003	5.846829e-009	1.425343e-001
3.206069801341567e-003	5.331768e-009	1.299781e-001
3.220684087055829e-003	4.859478e-009	1.184646e-001
3.235298372770091e-003	4.429959e-009	1.079938e-001
3.249912658484354e-003	4.043212e-009	9.856565e-002
3.264526944198616e-003	3.699236e-009	9.018019e-002
3.264626944198616e-003	3.696928e-009	9.012391e-002
3.279241229912878e-003	3.379968e-009	8.239705e-002
3.293855515627140e-003	3.085580e-009	7.522044e-002
3.308469801341403e-003	2.813764e-009	6.859409e-002
3.323084087055665e-003	2.564520e-009	6.251800e-002
3.337698372769927e-003	2.337847e-009	5.699218e-002
3.352312658484190e-003	2.133747e-009	5.201661e-002
3.366926944198452e-003	1.952219e-009	4.759130e-002
3.367026944198452e-003	1.951001e-009	4.756161e-002
3.381641229912714e-003	1.783730e-009	4.348386e-002
3.396255515626976e-003	1.628371e-009	3.969651e-002
3.410869801341239e-003	1.484923e-009	3.619955e-002
3.425484087055501e-003	1.353388e-009	3.299298e-002
3.440098372769763e-003	1.233765e-009	3.007680e-002
3.454712658484026e-003	1.126055e-009	2.745102e-002
3.469326944198288e-003	1.030256e-009	2.511563e-002
3.469426944198288e-003	1.029613e-009	2.509996e-002
3.484041229912550e-003	9.413378e-010	2.294798e-002
3.498655515626812e-003	8.593492e-010	2.094926e-002
3.513269801341075e-003	7.836471e-010	1.910379e-002
3.527884087055337e-003	7.142314e-010	1.741157e-002
3.542498372769599e-003	6.511020e-010	1.587260e-002
