time	V(in)	V(out)	abs(V(out)/V(in))
7.695162895327275e-003	-6.223058e-002	6.220518e-001	9.995918e+000
7.713969353130866e-003	-6.454562e-002	6.452842e-001	9.997336e+000
7.729858534213643e-003	-6.574213e-002	6.573210e-001	9.998475e+000
7.745137098727470e-003	-6.621946e-002	6.621642e-001	9.999541e+000
7.763192074315238e-003	-6.592903e-002	6.593426e-001	1.000079e+001
7.786471410984080e-003	-6.413975e-002	6.415550e-001	1.000245e+001
7.824187039490111e-003	-5.806223e-002	5.809389e-001	1.000545e+001
7.884130374693439e-003	-4.206640e-002	4.211854e-001	1.001239e+001
7.973779021786861e-003	-1.008178e-002	1.014965e-001	1.006732e+001
8.074067670667347e-003	2.842250e-002	-2.835930e-001	9.977765e+000
8.132534538883782e-003	4.814880e-002	-4.809968e-001	9.989799e+000
8.169459383490589e-003	5.756978e-002	-5.753382e-001	9.993754e+000
8.195162895327273e-003	6.223058e-002	-6.220517e-001	9.995917e+000
8.213969353130865e-003	6.454562e-002	-6.452842e-001	9.997336e+000
8.229858534213642e-003	6.574213e-002	-6.573210e-001	9.998474e+000
8.245137098727470e-003	6.621946e-002	-6.621642e-001	9.999541e+000
8.263192074315239e-003	6.592903e-002	-6.593426e-001	1.000079e+001
8.286471410984080e-003	6.413975e-002	-6.415550e-001	1.000245e+001
8.324187039490111e-003	5.806223e-002	-5.809389e-001	1.000545e+001
8.384130374693440e-003	4.206640e-002	-4.211854e-001	1.001239e+001
8.473779021786861e-003	1.008178e-002	-1.014965e-001	1.006732e+001
8.574067670667348e-003	-2.842250e-002	2.835930e-001	9.977765e+000
8.632534538883784e-003	-4.814880e-002	4.809968e-001	9.989799e+000
8.669459383490593e-003	-5.756978e-002	5.753382e-001	9.993754e+000
8.695162895327277e-003	-6.223058e-002	6.220518e-001	9.995918e+000
8.713969353130867e-003	-6.454562e-002	6.452842e-001	9.997336e+000
8.729858534213644e-003	-6.574213e-002	6.573210e-001	9.998475e+000
8.745137098727471e-003	-6.621946e-002	6.621642e-001	9.999541e+000
8.763192074315239e-003	-6.592903e-002	6.593426e-001	1.000079e+001
8.786471410984082e-003	-6.413975e-002	6.415550e-001	1.000245e+001
8.824187039490115e-003	-5.806223e-002	5.809389e-001	1.000545e+001
8.884130374693445e-003	-4.206640e-002	4.211854e-001	1.001239e+001
8.973779021786869e-003	-1.008178e-002	1.014965e-001	1.006732e+001
9.074067670667353e-003	2.842250e-002	-2.835930e-001	9.977765e+000
9.132534538883786e-003	4.814880e-002	-4.809968e-001	9.989799e+000
9.169459383490593e-003	5.756978e-002	-5.753382e-001	9.993754e+000
9.195162895327276e-003	6.223058e-002	-6.220517e-001	9.995917e+000
9.213969353130866e-003	6.454562e-002	-6.452842e-001	9.997336e+000
9.229858534213643e-003	6.574213e-002	-6.573210e-001	9.998475e+000
9.245137098727471e-003	6.621946e-002	-6.621642e-001	9.999541e+000
9.263192074315240e-003	6.592903e-002	-6.593426e-001	1.000079e+001
9.286471410984083e-003	6.413975e-002	-6.415550e-001	1.000245e+001
9.324187039490115e-003	5.806223e-002	-5.809389e-001	1.000545e+001
9.384130374693446e-003	4.206640e-002	-4.211854e-001	1.001239e+001
9.473779021786871e-003	1.008178e-002	-1.014965e-001	1.006732e+001
9.574067670667354e-003	-2.842250e-002	2.835930e-001	9.977765e+000
9.632534538883786e-003	-4.814880e-002	4.809968e-001	9.989799e+000
9.669459383490594e-003	-5.756978e-002	5.753382e-001	9.993754e+000
9.695162895327278e-003	-6.223058e-002	6.220517e-001	9.995917e+000
9.713969353130868e-003	-6.454562e-002	6.452842e-001	9.997336e+000
9.729858534213645e-003	-6.574213e-002	6.573210e-001	9.998475e+000
9.745137098727470e-003	-6.621946e-002	6.621642e-001	9.999541e+000
9.763192074315238e-003	-6.592903e-002	6.593426e-001	1.000079e+001
9.786471410984080e-003	-6.413975e-002	6.415550e-001	1.000245e+001
9.824187039490111e-003	-5.806223e-002	5.809389e-001	1.000545e+001
9.884130374693439e-003	-4.206640e-002	4.211854e-001	1.001239e+001
9.973779021786861e-003	-1.008178e-002	1.014965e-001	1.006732e+001
1.007406767066735e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.013253453888378e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.016945938349059e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.019516289532728e-002	6.223058e-002	-6.220518e-001	9.995918e+000
1.021396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.022985853421364e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.024513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.026319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
1.028647141098408e-002	6.413975e-002	-6.415550e-001	1.000245e+001
1.032418703949011e-002	5.806223e-002	-5.809389e-001	1.000545e+001
1.038413037469344e-002	4.206640e-002	-4.211854e-001	1.001239e+001
1.047377902178686e-002	1.008178e-002	-1.014965e-001	1.006732e+001
1.057406767066735e-002	-2.842250e-002	2.835930e-001	9.977765e+000
1.063253453888378e-002	-4.814880e-002	4.809968e-001	9.989799e+000
1.066945938349059e-002	-5.756978e-002	5.753382e-001	9.993754e+000
1.069516289532727e-002	-6.223058e-002	6.220518e-001	9.995918e+000
1.071396935313087e-002	-6.454562e-002	6.452842e-001	9.997336e+000
1.072985853421364e-002	-6.574213e-002	6.573210e-001	9.998475e+000
1.074513709872747e-002	-6.621946e-002	6.621642e-001	9.999541e+000
1.076319207431524e-002	-6.592903e-002	6.593426e-001	1.000079e+001
1.078647141098408e-002	-6.413975e-002	6.415550e-001	1.000245e+001
1.082418703949012e-002	-5.806223e-002	5.809389e-001	1.000545e+001
1.088413037469345e-002	-4.206640e-002	4.211854e-001	1.001239e+001
1.097377902178687e-002	-1.008178e-002	1.014965e-001	1.006732e+001
1.107406767066735e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.113253453888379e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.116945938349060e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.119516289532728e-002	6.223058e-002	-6.220518e-001	9.995918e+000
1.121396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.122985853421365e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.124513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.126319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
1.128647141098408e-002	6.413975e-002	-6.415550e-001	1.000245e+001
1.132418703949012e-002	5.806223e-002	-5.809389e-001	1.000545e+001
1.138413037469345e-002	4.206640e-002	-4.211854e-001	1.001239e+001
1.147377902178687e-002	1.008178e-002	-1.014965e-001	1.006732e+001
1.157406767066736e-002	-2.842250e-002	2.835930e-001	9.977765e+000
1.163253453888379e-002	-4.814880e-002	4.809968e-001	9.989799e+000
1.166945938349060e-002	-5.756978e-002	5.753382e-001	9.993754e+000
1.169516289532728e-002	-6.223058e-002	6.220518e-001	9.995918e+000
1.171396935313087e-002	-6.454562e-002	6.452842e-001	9.997336e+000
1.172985853421365e-002	-6.574213e-002	6.573210e-001	9.998474e+000
1.174513709872747e-002	-6.621946e-002	6.621642e-001	9.999541e+000
1.176319207431524e-002	-6.592903e-002	6.593426e-001	1.000079e+001
1.178647141098408e-002	-6.413975e-002	6.415550e-001	1.000245e+001
1.182418703949011e-002	-5.806223e-002	5.809389e-001	1.000545e+001
1.188413037469343e-002	-4.206640e-002	4.211854e-001	1.001239e+001
1.197377902178685e-002	-1.008178e-002	1.014965e-001	1.006732e+001
1.207406767066734e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.213253453888378e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.216945938349059e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.219516289532727e-002	6.223058e-002	-6.220517e-001	9.995917e+000
1.221396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.222985853421364e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.224513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.226319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
1.228647141098408e-002	6.413975e-002	-6.415550e-001	1.000245e+001
1.232418703949011e-002	5.806223e-002	-5.809389e-001	1.000545e+001
1.238413037469344e-002	4.206640e-002	-4.211854e-001	1.001239e+001
1.247377902178686e-002	1.008178e-002	-1.014965e-001	1.006732e+001
1.257406767066735e-002	-2.842250e-002	2.835930e-001	9.977765e+000
1.263253453888378e-002	-4.814880e-002	4.809968e-001	9.989799e+000
1.266945938349059e-002	-5.756978e-002	5.753382e-001	9.993754e+000
1.269516289532728e-002	-6.223058e-002	6.220518e-001	9.995918e+000
1.271396935313087e-002	-6.454562e-002	6.452842e-001	9.997336e+000
1.272985853421364e-002	-6.574213e-002	6.573210e-001	9.998474e+000
1.274513709872747e-002	-6.621946e-002	6.621642e-001	9.999541e+000
1.276319207431524e-002	-6.592903e-002	6.593426e-001	1.000079e+001
1.278647141098408e-002	-6.413975e-002	6.415550e-001	1.000245e+001
1.282418703949012e-002	-5.806223e-002	5.809389e-001	1.000545e+001
1.288413037469345e-002	-4.206640e-002	4.211854e-001	1.001239e+001
1.297377902178687e-002	-1.008178e-002	1.014965e-001	1.006732e+001
1.307406767066736e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.313253453888379e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.316945938349060e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.319516289532728e-002	6.223058e-002	-6.220517e-001	9.995917e+000
1.321396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.322985853421364e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.324513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.326319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
1.328647141098408e-002	6.413975e-002	-6.415550e-001	1.000245e+001
1.332418703949011e-002	5.806223e-002	-5.809389e-001	1.000545e+001
1.338413037469344e-002	4.206640e-002	-4.211854e-001	1.001239e+001
1.347377902178686e-002	1.008178e-002	-1.014965e-001	1.006732e+001
1.357406767066735e-002	-2.842250e-002	2.835930e-001	9.977765e+000
1.363253453888379e-002	-4.814880e-002	4.809968e-001	9.989799e+000
1.366945938349059e-002	-5.756978e-002	5.753382e-001	9.993754e+000
1.369516289532728e-002	-6.223058e-002	6.220518e-001	9.995918e+000
1.371396935313087e-002	-6.454562e-002	6.452842e-001	9.997336e+000
1.372985853421364e-002	-6.574213e-002	6.573210e-001	9.998475e+000
1.374513709872747e-002	-6.621946e-002	6.621642e-001	9.999541e+000
1.376319207431524e-002	-6.592903e-002	6.593426e-001	1.000079e+001
1.378647141098408e-002	-6.413975e-002	6.415550e-001	1.000245e+001
1.382418703949011e-002	-5.806223e-002	5.809389e-001	1.000545e+001
1.388413037469344e-002	-4.206640e-002	4.211854e-001	1.001239e+001
1.397377902178686e-002	-1.008178e-002	1.014965e-001	1.006732e+001
1.407406767066735e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.413253453888378e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.416945938349059e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.419516289532728e-002	6.223058e-002	-6.220517e-001	9.995917e+000
1.421396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.422985853421364e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.424513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.426319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
1.428647141098408e-002	6.413975e-002	-6.415550e-001	1.000245e+001
1.432418703949011e-002	5.806223e-002	-5.809389e-001	1.000545e+001
1.438413037469344e-002	4.206640e-002	-4.211854e-001	1.001239e+001
1.447377902178686e-002	1.008178e-002	-1.014965e-001	1.006732e+001
1.457406767066735e-002	-2.842250e-002	2.835930e-001	9.977765e+000
1.463253453888378e-002	-4.814880e-002	4.809968e-001	9.989799e+000
1.466945938349059e-002	-5.756978e-002	5.753382e-001	9.993754e+000
1.469516289532728e-002	-6.223058e-002	6.220517e-001	9.995917e+000
1.471396935313087e-002	-6.454562e-002	6.452842e-001	9.997336e+000
1.472985853421365e-002	-6.574213e-002	6.573210e-001	9.998475e+000
1.474513709872747e-002	-6.621946e-002	6.621642e-001	9.999541e+000
1.476319207431524e-002	-6.592903e-002	6.593426e-001	1.000079e+001
1.478647141098408e-002	-6.413975e-002	6.415550e-001	1.000245e+001
1.482418703949011e-002	-5.806223e-002	5.809389e-001	1.000545e+001
