Freq.	V(out)/V(in)
2.08929613085407e+005	(-2.79940029385549e+001dB,-8.61615855183355e+001°)
2.18776162394959e+005	(-2.83926974998541e+001dB,-8.64444975023115e+001°)
2.29086765276781e+005	(-2.87915404525518e+001dB,-8.67199135747575e+001°)
2.39883291901953e+005	(-2.91905220326461e+001dB,-8.69884110919320e+001°)
2.51188643150962e+005	(-2.95896336422233e+001dB,-8.72505534751259e+001°)
2.63026799189542e+005	(-2.99888677780763e+001dB,-8.75068912901319e+001°)
2.75422870333821e+005	(-3.03882179693080e+001dB,-8.77579633112059e+001°)
2.88403150312665e+005	(-3.07876787234348e+001dB,-8.80042975698324e+001°)
3.01995172040206e+005	(-3.11872454805651e+001dB,-8.82464123887545e+001°)
3.16227766016843e+005	(-3.15869145752930e+001dB,-8.84848174018445e+001°)
3.31131121482596e+005	(-3.19866832060030e+001dB,-8.87200145604829e+001°)
3.46736850452537e+005	(-3.23865494113402e+001dB,-8.89524991271736e+001°)
3.63078054770107e+005	(-3.27865120536531e+001dB,-8.91827606571633e+001°)
3.80189396320567e+005	(-3.31865708092740e+001dB,-8.94112839688490e+001°)
3.98107170553504e+005	(-3.35867261655499e+001dB,-8.96385501037497e+001°)
4.16869383470342e+005	(-3.39869794245932e+001dB,-8.98650372767915e+001°)
4.36515832240173e+005	(-3.43873327137707e+001dB,-9.00912218176046e+001°)
4.57088189614883e+005	(-3.47877890029998e+001dB,-9.03175791034569e+001°)
4.78630092322646e+005	(-3.51883521289745e+001dB,-9.05445844843539e+001°)
5.01187233627281e+005	(-3.55890268264940e+001dB,-9.07727142007124e+001°)
5.24807460249781e+005	(-3.59898187671162e+001dB,-9.10024462938668e+001°)
5.49540873857634e+005	(-3.63907346054156e+001dB,-9.12342615094900e+001°)
5.75439937337167e+005	(-3.67917820331732e+001dB,-9.14686441938012e+001°)
6.02559586074368e+005	(-3.71929698418826e+001dB,-9.17060831821846e+001°)
6.30957344480204e+005	(-3.75943079940095e+001dB,-9.19470726795614e+001°)
6.60693448007607e+005	(-3.79958077034985e+001dB,-9.21921131315236e+001°)
6.91830970918948e+005	(-3.83974815260750e+001dB,-9.24417120848614e+001°)
7.24435960075003e+005	(-3.87993434599481e+001dB,-9.26963850356783e+001°)
7.58577575029197e+005	(-3.92014090575740e+001dB,-9.29566562627917e+001°)
7.94328234724295e+005	(-3.96036955491981e+001dB,-9.32230596435480e+001°)
8.31763771102686e+005	(-4.00062219789463e+001dB,-9.34961394485374e+001°)
8.70963589956096e+005	(-4.04090093542877e+001dB,-9.37764511109600e+001°)
9.12010839355926e+005	(-4.08120808097435e+001dB,-9.40645619655674e+001°)
9.54992586021453e+005	(-4.12154617857560e+001dB,-9.43610519511716e+001°)
1.00000000000000e+006	(-4.16191802236750e+001dB,-9.46665142696585e+001°)
